x,sin_x,cos_x,s_pos,c_pos
0.01,0.009999833334167,0.999950000416665,TRUE,TRUE
0.02,0.019998666693333,0.999800006666578,TRUE,TRUE
0.03,0.029995500202496,0.999550033748987,TRUE,TRUE
0.04,0.039989334186634,0.999200106660978,TRUE,TRUE
0.05,0.049979169270678,0.998750260394966,TRUE,TRUE
0.06,0.059964006479445,0.998200539935204,TRUE,TRUE
0.07,0.069942847337533,0.99755100025328,TRUE,TRUE
0.08,0.079914693969173,0.996801706302619,TRUE,TRUE
0.09,0.089878549198011,0.995952733011994,TRUE,TRUE
0.1,0.099833416646828,0.995004165278026,TRUE,TRUE
0.11,0.109778300837175,0.993956097956697,TRUE,TRUE
0.12,0.119712207288919,0.992808635853866,TRUE,TRUE
0.13,0.129634142619695,0.991561893714788,TRUE,TRUE
0.14,0.139543114644236,0.990215996212637,TRUE,TRUE
0.15,0.149438132473599,0.988771077936042,TRUE,TRUE
0.16,0.159318206614246,0.987227283375627,TRUE,TRUE
0.17,0.169182349066996,0.985584766909561,TRUE,TRUE
0.18,0.179029573425824,0.983843692788121,TRUE,TRUE
0.19,0.188858894976501,0.98200423511727,TRUE,TRUE
0.2,0.198669330795061,0.980066577841242,TRUE,TRUE
0.21,0.2084598998461,0.978030914724148,TRUE,TRUE
0.22,0.218229623080869,0.975897449330605,TRUE,TRUE
0.23,0.227977523535188,0.973666395005375,TRUE,TRUE
0.24,0.237702626427135,0.971337974852029,TRUE,TRUE
0.25,0.247403959254523,0.968912421710645,TRUE,TRUE
0.26,0.257080551892155,0.966389978134513,TRUE,TRUE
0.27,0.266731436688831,0.963770896365891,TRUE,TRUE
0.28,0.276355648564114,0.961055438310771,TRUE,TRUE
0.29,0.285952225104836,0.958243875512697,TRUE,TRUE
0.3,0.29552020666134,0.955336489125606,TRUE,TRUE
0.31,0.305058636443443,0.952333569885713,TRUE,TRUE
0.32,0.314566560616118,0.949235418082441,TRUE,TRUE
0.33,0.324043028394868,0.946042343528387,TRUE,TRUE
0.34,0.333487092140814,0.942754665528346,TRUE,TRUE
0.35,0.342897807455451,0.939372712847379,TRUE,TRUE
0.36,0.35227423327509,0.935896823677935,TRUE,TRUE
0.37,0.361615431964962,0.932327345606034,TRUE,TRUE
0.38,0.370920469412983,0.92866463557651,TRUE,TRUE
0.39,0.380188415123161,0.924909059857313,TRUE,TRUE
0.4,0.38941834230865,0.921060994002885,TRUE,TRUE
0.41,0.398609327984423,0.917120822816605,TRUE,TRUE
0.42,0.40776045305957,0.913088940312308,TRUE,TRUE
0.43,0.416870802429211,0.908965749674885,TRUE,TRUE
0.44,0.425939465066,0.904751663219963,TRUE,TRUE
0.45,0.43496553411123,0.900447102352677,TRUE,TRUE
0.46,0.44394810696552,0.896052497525525,TRUE,TRUE
0.47,0.452886285379068,0.891568288195329,TRUE,TRUE
0.48,0.461779175541483,0.886994922779284,TRUE,TRUE
0.49,0.470625888171158,0.882332858610121,TRUE,TRUE
0.5,0.479425538604203,0.877582561890373,TRUE,TRUE
0.51,0.488177246882908,0.872744507645751,TRUE,TRUE
0.52,0.496880137843737,0.86781917967765,TRUE,TRUE
0.53,0.505533341204847,0.862807070514761,TRUE,TRUE
0.54,0.514135991653113,0.857708681363824,TRUE,TRUE
0.55,0.522687228930659,0.852524522059506,TRUE,TRUE
0.56,0.531186197920883,0.847255111013416,TRUE,TRUE
0.57,0.539632048733969,0.841900975162269,TRUE,TRUE
0.58,0.548023936791874,0.836462649915187,TRUE,TRUE
0.59,0.556361022912784,0.830940679100164,TRUE,TRUE
0.6,0.564642473395035,0.825335614909678,TRUE,TRUE
0.61,0.572867460100481,0.819648017845479,TRUE,TRUE
0.62,0.581035160537305,0.813878456662534,TRUE,TRUE
0.63,0.58914475794227,0.808027508312152,TRUE,TRUE
0.64,0.597195441362392,0.802095757884293,TRUE,TRUE
0.65,0.60518640573604,0.796083798549056,TRUE,TRUE
0.66,0.613116851973434,0.789992231497365,TRUE,TRUE
0.67,0.62098598703656,0.783821665880849,TRUE,TRUE
0.68,0.628793024018469,0.777572718750928,TRUE,TRUE
0.69,0.636537182221968,0.771246014997107,TRUE,TRUE
0.7,0.644217687237691,0.764842187284488,TRUE,TRUE
0.71,0.651833771021537,0.758361875990508,TRUE,TRUE
0.72,0.659384671971473,0.751805729140895,TRUE,TRUE
0.73,0.666869635003698,0.74517440234487,TRUE,TRUE
0.74,0.674287911628145,0.738468558729588,TRUE,TRUE
0.75,0.681638760023334,0.731688868873821,TRUE,TRUE
0.76,0.688921445110551,0.724836010740905,TRUE,TRUE
0.77,0.696135238627357,0.717910669610943,TRUE,TRUE
0.78,0.70327941920041,0.710913538012277,TRUE,TRUE
0.79,0.710353272417608,0.703845315652236,TRUE,TRUE
0.8,0.717356090899523,0.696706709347165,TRUE,TRUE
0.81,0.724287174370143,0.689498432951747,TRUE,TRUE
0.82,0.731145829726896,0.682221207287614,TRUE,TRUE
0.83,0.737931371109963,0.674875760071267,TRUE,TRUE
0.84,0.744643119970859,0.667462825841308,TRUE,TRUE
0.85,0.751280405140293,0.659983145884982,TRUE,TRUE
0.86,0.757842562895277,0.652437468164052,TRUE,TRUE
